iyear,imonth,iday,extended,governorate,city,longitude,latitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1_txt,gname,individual,weaptype,weaptype_txt,nkills
1970,3,14,0,Alexandria,Alexandria,29.919167,31.198056,1,0,3,Bombing/Explosion,6,Airports & Aircraft,42,Aircraft (not at an airport),United Arab Airlines Flight Antonov 24 Acft,Egypt,Unknown,0,6,Explosives,0
1971,11,28,0,Cairo,Cairo,31.334314,30.084629,1,0,1,Assassination,2,Government (General),17,Head of State,"Jordanian Prime Minister, Wasfi Tal",Egypt,Black September,0,5,Firearms,1
1972,2,19,0,Cairo,Cairo,31.334314,30.084629,0,0,4,Hijacking,6,Airports & Aircraft,42,Aircraft (not at an airport),Caravelle,Jordan,Jordanian National Liberation Movement,0,6,Explosives,0
1977,12,5,0,Cairo,Cairo,31.334314,30.084629,1,0,1,Assassination,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,"David Holden, Chief of Foreign Correspondents",Great Britain,Unknown,0,5,Firearms,1
1978,9,30,0,North Sinai,Yamit,34.167778,31.275278,1,0,3,Bombing/Explosion,14,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",beach at yamit,Israel,Palestinians,0,6,Explosives,0
1978,10,1,0,North Sinai,Unknown,33.617577,30.608472,1,0,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Military installation near Eilat,Israel,Palestinians,0,5,Firearms,2
1979,4,19,0,Cairo,Cairo,31.334314,30.084629,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Main Post Office,Egypt,Eagles of the Palestinian Revolution,0,6,Explosives,1
1980,1,6,0,Alexandria,Alexandria,29.919167,31.198056,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,,Egypt,Unknown,0,6,Explosives,0
1980,1,6,0,Alexandria,Alexandria,29.919167,31.198056,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,,Egypt,Unknown,0,6,Explosives,1
1980,4,30,0,Cairo,Cairo,31.334314,30.084629,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,Synagogue,Egypt,Unknown,0,6,Explosives,0
1980,7,15,0,Ismailia,Ismailia,32.271566,30.597448,0,0,1,Assassination,2,Government (General),17,Head of State,"As-Sadat, President",Egypt,Egyptian Revolutionary Organization,0,13,Unknown,0
1980,11,10,0,Cairo,Cairo,31.334314,30.084629,0,0,1,Assassination,2,Government (General),18,"Government Personnel (excluding police, military)","Reza Shah, New Shah (son of old)",Iran,Unknown,0,5,Firearms,0
1981,3,1,0,Cairo,Cairo,31.334314,30.084629,0,0,6,Hostage Taking (Kidnapping),6,Airports & Aircraft,42,Aircraft (not at an airport),,Egypt,Japanese Red Army (JRA),0,13,Unknown,0
1981,4,6,0,Cairo,Cairo,31.334314,30.084629,0,0,3,Bombing/Explosion,7,Government (Diplomatic),46,Embassy/Consulate,U.S. Embassy,United States,Unknown,0,6,Explosives,0
1981,4,6,0,Cairo,Cairo,31.334314,30.084629,0,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Abadin Palace,Egypt,Unknown,0,6,Explosives,0
1981,4,6,0,Cairo,Cairo,31.334314,30.084629,0,0,3,Bombing/Explosion,7,Government (Diplomatic),46,Embassy/Consulate,Israeli Embassy,Israel,Unknown,0,6,Explosives,0
1981,8,2,0,Cairo,Cairo,31.334314,30.084629,1,0,3,Bombing/Explosion,14,Private Citizens & Property,78,"Procession/Gathering (funeral, wedding, birthday, religious)",Christian Coptic Wedding (St. Mary's),Egypt,Arab Steadfastness Front,0,6,Explosives,3
1981,9,15,0,Cairo,Cairo,31.334314,30.084629,0,0,9,Unknown,6,Airports & Aircraft,44,Airport,Cairo Air Terminal,Egypt,Japanese Red Army (JRA),0,13,Unknown,0
1981,10,6,0,Cairo,Cairo,31.334314,30.084629,1,0,1,Assassination,20,Unknown,,,President Anwar al-Sadat,Egypt,Egyptian Islamic Jihad (Al-Jihad),0,13,Unknown,8
1981,10,7,0,Asyut,Asyut,31.179426,27.181122,1,0,3,Bombing/Explosion,3,Police,22,"Police Building (headquarters, station, school)",Police Headquarters,Egypt,Unknown,0,5,Firearms,54
1981,10,13,0,Cairo,Cairo,31.334314,30.084629,1,0,3,Bombing/Explosion,6,Airports & Aircraft,42,Aircraft (not at an airport),Air Malta Boeing 737 (luggage being unloaded from it),Malta,Libyan,0,6,Explosives,2
1982,9,24,0,Giza,Giza,31.185192,30.022924,1,0,2,Armed Assault,18,Tourists,96,Tour Bus/Van,Tourist Bus,Egypt,Egyptian Islamic Jihad (Al-Jihad),0,5,Firearms,0
1985,8,20,0,Cairo,Cairo,31.334314,30.084629,1,0,1,Assassination,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)","Albert Atrakchi (30), attache",Israel,Egypt's Revolution,0,5,Firearms,1
1985,10,7,0,Alexandria,Alexandria,29.919167,31.198056,1,0,4,Hijacking,11,Maritime,58,Commercial Maritime,,Italy,Palestine Liberation Front (PLF),0,5,Firearms,1
1986,3,19,0,Cairo,Cairo,31.334314,30.084629,1,0,1,Assassination,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)","unk, wife of diplomat",Israel,Egypt's Revolution,0,5,Firearms,1
1986,3,19,0,Cairo,Cairo,31.334314,30.084629,1,0,1,Assassination,14,Private Citizens & Property,77,Laborer (General)/Occupation Identified,workers,Israel,Unknown,0,5,Firearms,1
